date,service,cost
2026-07-01,EC2,330.42
2026-07-01,S3,84.97
2026-07-01,RDS,215.07
2026-07-01,Lambda,41.92
2026-07-02,EC2,341.95
2026-07-02,S3,88.07
2026-07-02,RDS,195.15
2026-07-02,Lambda,45.05
2026-07-03,EC2,314.84
2026-07-03,S3,89.04
2026-07-03,RDS,195.55
2026-07-03,Lambda,42.05
2026-07-04,EC2,335.89
2026-07-04,S3,94.71
2026-07-04,RDS,197.36
2026-07-04,Lambda,43.01
2026-07-05,EC2,346.93
2026-07-05,S3,96.45
2026-07-05,RDS,212.59
2026-07-05,Lambda,44.26
2026-07-06,EC2,365.91
2026-07-06,S3,83.47
2026-07-06,RDS,222.04
2026-07-06,Lambda,43.49
2026-07-07,EC2,320.65
2026-07-07,S3,84.50
2026-07-07,RDS,203.56
2026-07-07,Lambda,47.28
2026-07-08,EC2,322.63
2026-07-08,S3,91.18
2026-07-08,RDS,214.67
2026-07-08,Lambda,44.08
2026-07-09,EC2,342.60
2026-07-09,S3,83.70
2026-07-09,RDS,195.20
2026-07-09,Lambda,42.88
2026-07-10,EC2,349.81
2026-07-10,S3,88.96
2026-07-10,RDS,203.76
2026-07-10,Lambda,45.62
2026-07-11,EC2,337.45
2026-07-11,S3,87.12
2026-07-11,RDS,219.89
2026-07-11,Lambda,46.43
2026-07-12,EC2,326.08
2026-07-12,S3,91.07
2026-07-12,RDS,210.85
2026-07-12,Lambda,47.70
2026-07-13,EC2,352.48
2026-07-13,S3,86.95
2026-07-13,RDS,226.13
2026-07-13,Lambda,42.25
2026-07-14,EC2,335.55
2026-07-14,S3,93.70
2026-07-14,RDS,198.31
2026-07-14,Lambda,44.92
2026-07-15,EC2,314.93
2026-07-15,S3,92.42
2026-07-15,RDS,218.89
2026-07-15,Lambda,45.53
2026-07-16,EC2,360.43
2026-07-16,S3,87.32
2026-07-16,RDS,216.56
2026-07-16,Lambda,45.68
2026-07-17,EC2,344.35
2026-07-17,S3,89.37
2026-07-17,RDS,221.42
2026-07-17,Lambda,48.20
2026-07-18,EC2,338.59
2026-07-18,S3,92.36
2026-07-18,RDS,195.24
2026-07-18,Lambda,46.45
2026-07-19,EC2,2550.00
2026-07-19,S3,97.10
2026-07-19,RDS,220.82
2026-07-19,Lambda,43.45
2026-07-20,EC2,333.79
2026-07-20,S3,92.43
2026-07-20,RDS,193.96
2026-07-20,Lambda,44.72
2026-07-21,EC2,321.94
2026-07-21,S3,84.49
2026-07-21,RDS,195.18
2026-07-21,Lambda,46.93
2026-07-22,EC2,319.84
2026-07-22,S3,86.37
2026-07-22,RDS,206.34
2026-07-22,Lambda,47.67
2026-07-23,EC2,317.18
2026-07-23,S3,89.27
2026-07-23,RDS,211.66
2026-07-23,Lambda,47.76
2026-07-24,EC2,357.37
2026-07-24,S3,95.24
2026-07-24,RDS,202.55
2026-07-24,Lambda,44.39
2026-07-25,EC2,332.32
2026-07-25,S3,95.53
2026-07-25,RDS,225.38
2026-07-25,Lambda,42.49
2026-07-26,EC2,322.39
2026-07-26,S3,86.14
2026-07-26,RDS,201.04
2026-07-26,Lambda,44.89
2026-07-27,EC2,344.85
2026-07-27,S3,86.58
2026-07-27,RDS,882.00
2026-07-27,Lambda,44.42
2026-07-28,EC2,332.89
2026-07-28,S3,90.96
2026-07-28,RDS,225.22
2026-07-28,Lambda,46.37
2026-07-29,EC2,340.84
2026-07-29,S3,91.69
2026-07-29,RDS,215.92
2026-07-29,Lambda,41.79
2026-07-30,EC2,361.73
2026-07-30,S3,94.03
2026-07-30,RDS,222.58
2026-07-30,Lambda,47.14
2026-07-31,EC2,334.15
2026-07-31,S3,88.55
2026-07-31,RDS,196.68
2026-07-31,Lambda,45.97
